dd,mon,year,allmn
10/8/15,10,2015,58
10/9/15,10,2015,58
10/10/15,10,2015,58
10/11/15,10,2015,58
10/12/15,10,2015,58
10/13/15,10,2015,58
10/14/15,10,2015,58
10/15/15,10,2015,58
10/16/15,10,2015,58
10/17/15,10,2015,58
10/18/15,10,2015,58
10/19/15,10,2015,58
10/20/15,10,2015,58
10/21/15,10,2015,58
10/22/15,10,2015,58
10/23/15,10,2015,58
10/24/15,10,2015,58
10/25/15,10,2015,58
10/26/15,10,2015,58
10/27/15,10,2015,58
10/28/15,10,2015,58
10/29/15,10,2015,58
10/30/15,10,2015,58
10/31/15,10,2015,58
11/1/15,11,2015,59
11/2/15,11,2015,59
11/3/15,11,2015,59
11/4/15,11,2015,59
11/5/15,11,2015,59
11/6/15,11,2015,59
11/7/15,11,2015,59
11/8/15,11,2015,59
11/9/15,11,2015,59
11/10/15,11,2015,59
11/11/15,11,2015,59
11/12/15,11,2015,59
11/13/15,11,2015,59
11/14/15,11,2015,59
11/15/15,11,2015,59
11/16/15,11,2015,59
11/17/15,11,2015,59
11/18/15,11,2015,59
11/19/15,11,2015,59
11/20/15,11,2015,59
11/21/15,11,2015,59
11/22/15,11,2015,59
11/23/15,11,2015,59
11/24/15,11,2015,59
11/25/15,11,2015,59
11/26/15,11,2015,59
11/27/15,11,2015,59
11/28/15,11,2015,59
11/29/15,11,2015,59
11/30/15,11,2015,59
12/1/15,12,2015,60
12/2/15,12,2015,60
12/3/15,12,2015,60
12/4/15,12,2015,60
12/5/15,12,2015,60
12/6/15,12,2015,60
12/7/15,12,2015,60
12/8/15,12,2015,60
12/9/15,12,2015,60
12/10/15,12,2015,60
12/11/15,12,2015,60
12/12/15,12,2015,60
12/13/15,12,2015,60
12/14/15,12,2015,60
12/15/15,12,2015,60
12/16/15,12,2015,60
12/17/15,12,2015,60
12/18/15,12,2015,60
12/19/15,12,2015,60
12/20/15,12,2015,60
12/21/15,12,2015,60
12/22/15,12,2015,60
12/23/15,12,2015,60
12/24/15,12,2015,60
12/25/15,12,2015,60
12/26/15,12,2015,60
12/27/15,12,2015,60
12/28/15,12,2015,60
12/29/15,12,2015,60
12/30/15,12,2015,60
12/31/15,12,2015,60
1/1/16,1,2016,61
1/2/16,1,2016,61
1/3/16,1,2016,61
1/4/16,1,2016,61
1/5/16,1,2016,61
1/6/16,1,2016,61
1/7/16,1,2016,61
1/8/16,1,2016,61
1/9/16,1,2016,61
1/10/16,1,2016,61
1/11/16,1,2016,61
1/12/16,1,2016,61
1/13/16,1,2016,61
1/14/16,1,2016,61
1/15/16,1,2016,61
1/16/16,1,2016,61
1/17/16,1,2016,61
1/18/16,1,2016,61
1/19/16,1,2016,61
1/20/16,1,2016,61
1/21/16,1,2016,61
1/22/16,1,2016,61
1/23/16,1,2016,61
1/24/16,1,2016,61
1/25/16,1,2016,61
1/26/16,1,2016,61
1/27/16,1,2016,61
1/28/16,1,2016,61
1/29/16,1,2016,61
1/30/16,1,2016,61
1/31/16,1,2016,61
2/1/16,2,2016,62
2/2/16,2,2016,62
2/3/16,2,2016,62
2/4/16,2,2016,62
